Name(Chinese),Name(English),Location(Chinese),Location(English),AdditionalInfo
瑞和街,Shui Wo Street,觀塘,Kwun Tong,None
深灣碼頭徑,Shum Wan Pier Drive,黃竹坑,Wong Chuk Hang,None
深灣道,Shum Wan Road,黃竹坑、香港仔,"Wong Chuk Hang, Aberdeen",None
順昌街,Shun Cheong Street,沙頭角,Sha Tau Kok,None
順緻街,Shun Chi Street,觀塘,Kwun Tong,None
順清街,Shun Ching Street,觀塘,Kwun Tong,None
信芳街,Shun Fong Street,葵涌,Kwai Chung,None
順富街,Shun Fu Street,西灣河,Sai Wan Ho,None
順風街,Shun Fung Street,土瓜灣,To Kwa Wan,None
順興街,Shun Hing Street,沙頭角,Sha Tau Kok,None
順景街,Shun King Street,牛頭角、秀茂坪,"Ngau Tau Kok, Sau Mau Ping",None
順利邨道,Shun Lee Tsuen Road,牛頭角,Ngau Tau Kok,None
順隆街,Shun Lung Street,沙頭角、粉嶺,"Sha Tau Kok, Fanling",None
順寧道,Shun Ning Road,深水埗、長沙灣,"Sham Shui Po, Cheung Sha Wan",None
順安道,Shun On Road,觀塘,Kwun Tong,None
順平街,Shun Ping Street,粉嶺、沙頭角,"Fanling, Sha Tau Kok",None
順泰道,Shun Tai Road,柴灣,Chai Wan,None
順達街,Shun Tat Street,藍地,Lam Tei,None
順東路,Shun Tung Road,東涌,Tung Chung,None
信義街,Shun Yee Street,尖沙咀,Tsim Sha Tsui,None
順業街,Shun Yip Street,牛頭角,Ngau Tau Kok,None
信用街,Shun Yung Street,紅磡,Hung Hom,None
崇正路,Shung Ching Road,元朗、大棠,"Yuen Long, Tai Tong",None
船景街,Shung King Street,紅磡,Hung Hom,None
崇齡街,Shung Ling Street,新蒲崗,San Po Kong,None
崇信街,Shung Shun Street,油塘,Yau Tong,None
崇德街,Shung Tak Street,大埔,Tai Po,None
崇德街,Shung Tak Street,灣仔,Wan Chai,None
崇德圍,Shung Tak Wai,油塘,Yau Tong,None
崇華街,Shung Wah Street,慈雲山,Tsz Wan Shan,None
崇和徑,Shung Wo Path,油塘,Yau Tong,None
崇仁圍,Shung Yan Circuit,觀塘,Kwun Tong,None
崇仁街,Shung Yan Street,觀塘,Kwun Tong,None
崇耀街,Shung Yiu Street,油塘,Yau Tong,None
海澄湖畔路,Siena Avenue,愉景灣,Discovery Bay,None
海澄徑一段,Siena One Drive,愉景灣,Discovery Bay,None
錫降圍路,Sik Kong Wai Road,元朗,Yuen Long,None
適安街,Sik On Street,灣仔,Wan Chai,None
銀岬路,Silver Cape Road,清水灣,Clear Water Bay,None
銀巒路,Silver Crest Road,清水灣,Clear Water Bay,None
銀湖路,Silver Lake Road,清水灣,Clear Water Bay,None
銀星徑,Silver Star Path,清水灣,Clear Water Bay,None
銀泉徑,Silver Stream Path,清水灣,Clear Water Bay,None
銀台路,Silver Terrace Road,清水灣,Clear Water Bay,None
銀線灣道,Silverstrand Beach Road,清水灣,Clear Water Bay,None
茜發道,Sin Fat Road,茶果嶺,Cha Kwo Ling,None
成和坊,Sing Woo Crescent,跑馬地,Happy Valley,None
成和道,Sing Woo Road,跑馬地,Happy Valley,None
金督馳馬徑,Sir Cecil's Ride,銅鑼灣,Causeway Bay,governor
兆祥坊,Siu Cheung Fong,西營盤,Sai Ying Pun,None
小坑口路,Siu Hang Hau Road,清水灣,Clear Water Bay,None
兆興里,Siu Hing Lane,屯門,Tuen Mun,None
兆康路,Siu Hong Road,屯門,Tuen Mun,None
肇堅里,Siu Kin Lane,灣仔,Wan Chai,None
小欖路,Siu Lam Road,小欖,Siu Lam,None
小欖村路,Siu Lam Tsuen Road,小欖,Siu Lam,None
小冷水路,Siu Lang Shui Road,屯門,Tuen Mun,None
小瀝源路,Siu Lek Yuen Road,沙田,Sha Tin,None
兆麟街,Siu Lun Street,屯門,Tuen Mun,None
小西灣道,Siu Sai Wan Road,柴灣,Chai Wan,None
小商路,Siu Sheung Road,元朗,Yuen Long,None
小食里,Siu Sik Lane,長洲,Cheung Chau,None
兆業街,Siu Yip Street,九龍灣,Kowloon Bay,None
航天城路,Sky City Road,赤鱲角,Chek Lap Kok,None
航天城東路,Sky City Road East,赤鱲角,Chek Lap Kok,None
翔天徑,Sky Plaza Drive,赤鱲角,Chek Lap Kok,None
翔天路,Sky Plaza Road,赤鱲角,Chek Lap Kok,None
翔天中路,Sky Plaza Road Central,赤鱲角,Chek Lap Kok,None
翔天北路,Sky Plaza Road North,赤鱲角,Chek Lap Kok,None
翔天南路,Sky Plaza Road South,赤鱲角,Chek Lap Kok,None
士美菲路,Smithfield,堅尼地城,Kennedy Town,None
掃管埔路,So Kwun Po Road,粉嶺,Fanling,None
掃管笏路,So Kwun Wat Road,掃管笏,So Kwun Wat,None
掃管笏村路,So Kwun Wat Tsuen Road,掃管笏,So Kwun Wat,None
梭椏道,Soares Avenue,何文田,Ho Man Tin,None
索罟灣第一街,Sok Kwu Wan First Street,南丫島,Lamma Island,None
索罟灣第二街,Sok Kwu Wan Second Street,南丫島,Lamma Island,None
索罟灣第三街,Sok Kwu Wan Third Street,南丫島,Lamma Island,None
森麻實道,Somerset Road,九龍塘,Kowloon Tong,british-p
南灣坊,South Bay Close,淺水灣,Repulse Bay,None
南灣徑,South Bay Path,淺水灣,Repulse Bay,None
南灣道,South Bay Road,淺水灣,Repulse Bay,None
南灣道,South Bay Road,沙頭角,Sha Tau Kok,None
海怡路,South Horizons Drive,鴨脷洲,Ap Lei Chau,None
麗港南街,South Laguna Street,茶果嶺,Cha Kwo Ling,None
南里,South Lane,石塘咀,Shek Tong Tsui,singlecn
嶼南道,South Lantau Road,長沙、大嶼山、梅窩,"Cheung Sha, Lantau Island, Mui Wo",None
南環路,South Perimeter Road,赤鱲角,Chek Lap Kok,None
跑道南路,South Runway Road,赤鱲角,Chek Lap Kok,None
城南道,South Wall Road,九龍城,Kowloon City,None
豉油街,Soy Street,旺角,Mong Kok,None
體育道,Sports Road,跑馬地,Happy Valley,None
春園街,Spring Garden Lane,灣仔,Wan Chai,None
四方街,Square Street,上環,Sheung Wan,None
聖佛蘭士街,St Francis Street,灣仔,Wan Chai,None
進教圍,St Francis Yard,金鐘、灣仔,"Admiralty, Wan Chai",None
聖約翰里,St John's Lane,何文田,Ho Man Tin,None
聖若瑟徑,St Joseph's Path,中環,Central,None
聖士提反里,St Stephen's Lane,半山區,Mid-levels,None
大球場徑,Stadium Path,銅鑼灣,Causeway Bay,None
施他佛道,Stafford Road,九龍塘,Kowloon Tong,british-p
士達福信路,Staffordshire Avenue,八鄉,Pat Heung,british-p
赤柱灘道,Stanley Beach Road,赤柱,Stanley,None
赤柱峽道,Stanley Gap Road,赤柱,Stanley,None
赤柱連合道,Stanley Link Road,赤柱,Stanley,None
赤柱大街,Stanley Main Street,赤柱,Stanley,None
赤柱市場道,Stanley Market Road,赤柱,Stanley,None
赤柱崗道,Stanley Mound Road,赤柱,Stanley,None
赤柱新街,Stanley New Street,赤柱,Stanley,None
士丹利街,Stanley Street,中環,Central,british-o
赤柱村道,Stanley Village Road,赤柱,Stanley,None
星街,Star Street,灣仔,Wan Chai,"astronomical,singlecn"
差館里,Station Lane,紅磡,Hung Hom,None
士丹頓街,Staunton Street,中環,Central,british-o
士他花利街,Staveley Street,中環,Central,officer
史釗域道,Stewart Road,灣仔,Wan Chai,officials
十間,Stewart Terrace,山頂,The Peak,"singlecn,officials"
士他令道,Stirling Road,九龍塘,Kowloon Tong,british-p
石水渠街,Stone Nullah Lane,灣仔,Wan Chai,None
司徒拔道,Stubbs Road,半山區、灣仔,"Mid-levels, Wan Chai",governor
沙福道,Suffolk Road,九龍塘,Kowloon Tong,british-p
糖街,Sugar Street,銅鑼灣,Causeway Bay,singlecn
瑞祥街,Sui Cheung Street,馬料水,Ma Liu Shui,None
穗豐里,Sui Fung Lane,火炭,Fo Tan,None
萃文里,Sui Man Lane,柴灣,Chai Wan,None
萃文道,Sui Man Road,柴灣,Chai Wan,None
瑞安街,Sui On Street,大埔,Tai Po,None
萃雲路,Sui Wan Road,粉嶺,Fanling,None
穗禾路,Sui Wo Road,沙田,Sha Tin,None
新村街,Sun Chun Street,銅鑼灣,Causeway Bay,None
新基街,Sun Ki Street,大澳,Tai O,None
新安街,Sun On Street,柴灣,Chai Wan,None
新成街,Sun Sing Street,西灣河,Sai Wan Ho,None
日街,Sun Street,灣仔,Wan Chai,"astronomical,singlecn"
新會道,Sun Wui Road,銅鑼灣,Causeway Bay,chi-place
新業街,Sun Yip Street,柴灣,Chai Wan,None
日葵徑,Sunflower Path,元朗,Yuen Long,None
崇志街,Sung Chi Street,紅磡,Hung Hom,None
崇慶里,Sung Hing Lane,西營盤,Sai Ying Pun,None
崇潔街,Sung Kit Street,紅磡,Hung Hom,None
崇安街,Sung On Street,紅磡,Hung Hom,None
崇平街,Sung Ping Street,紅磡,Hung Hom,None
宋皇台道,Sung Wong Toi Road,土瓜灣,To Kwa Wan,None
崇賢里,Sung Yin Lane,灣仔,Wan Chai,None
新寧道,Sunning Road,銅鑼灣,Causeway Bay,chi-place
欣澳道,Sunny Bay Road,馬灣,Ma Wan,None
法院道,Supreme Court Road,金鐘,Admiralty,None
舒梨道,Surrey Lane,九龍塘,Kowloon Tong,british-p
修打蘭街,Sutherland Street,西營盤,Sai Ying Pun,None
汕頭街,Swatow Street,灣仔,Wan Chai,chi-place
楓香路,Sweet Gum Road,新田、潭尾,"San Tin, Tam Mei",None
詩歌舞街,Sycamore Street,大角咀,Tai Kok Tsui,None
四川街,Sze Chuen Street,土瓜灣,To Kwa Wan,chi-place
四美街,Sze Mei Street,新蒲崗,San Po Kong,None
四陂坊,Sze Pei Square,荃灣,Tsuen Wan,None
四山街,Sze Shan Street,油塘,Yau Tong,None
打磚坪街,Ta Chuen Ping Street,葵涌,Kwai Chung,None
打蠔墩路,Ta Ho Tun Road,西貢,Sai Kung,None
大坳門路,Tai Au Mun Road,清水灣,Clear Water Bay,None
太祥街,Tai Cheong Street,西灣河、筲箕灣,"Sai Wan Ho, Shau Kei Wan",None
大蒸場路,Tai Ching Cheung Road,荔枝角,Lai Chi Kok,None
大政街,Tai Ching Street,大角咀,Tai Kok Tsui,None
大涌口路,Tai Chung Hau Road,西貢,Sai Kung,None
大涌橋路,Tai Chung Kiu Road,沙田,Sha Tin,None
大涌道,Tai Chung Road,荃灣,Tsuen Wan,None
大方街,Tai Fong Street,屯門,Tuen Mun,None
太富街,Tai Foo Street,西灣河,Sai Wan Ho,None
太豐路,Tai Fung Avenue,鰂魚涌,Quarry Bay,None
泰豐街,Tai Fung Street,元朗,Yuen Long,None
大廈街,Tai Ha Street,荃灣、葵涌,"Tsuen Wan, Kwai Chung",None
大坑徑,Tai Hang Drive,銅鑼灣,Causeway Bay,None
大坑口路,Tai Hang Hau Road,清水灣、西貢,"Clear Water Bay, Sai Kung",None
大坑道,Tai Hang Road,銅鑼灣、跑馬地,"Causeway Bay, Happy Valley",None
大坑西街,Tai Hang Sai Street,石硤尾,Shek Kip Mei,None
大坑東道,Tai Hang Tung Road,石硤尾、又一村,"Shek Kip Mei, Yau Yat Chuen",None
大興街,Tai Hing Street,屯門,Tuen Mun,None
大興堤路,Tai Hing Tai Road,長洲,Cheung Chau,None
大河道,Tai Ho Road,荃灣,Tsuen Wan,None
大河道北,Tai Ho Road North,荃灣,Tsuen Wan,None
大磡道,Tai Hom Road,鑽石山,Diamond Hill,None
太康街,Tai Hong Street,西灣河、筲箕灣,"Sai Wan Ho, Shau Kei Wan",None
大旗嶺路,Tai Kei Leng Road,元朗,Yuen Long,None
大橋路,Tai Kiu Road,元朗,Yuen Long,None
大角咀道,Tai Kok Tsui Road,大角咀、深水埗,"Tai Kok Tsui, Sham Shui Po",None
大光里,Tai Kwong Lane,大埔,Tai Po,None
大欖涌路,Tai Lam Chung Road,大欖,Tai Lam,None
大欖隧道,Tai Lam Tunnel,大欖,Tai Lam,None
大藍湖路,Tai Lam Wu Road,牛池灣、慈雲山,"Ngau Chi Wan, Tsz Wan Shan",None
泰利街,Tai Lee Street,元朗,Yuen Long,None
大連排道,Tai Lin Pai Road,葵涌,Kwai Chung,None
太樂街,Tai Lok Street,西灣河,Sai Wan Ho,None
大隴街,Tai Loong Street,葵涌,Kwai Chung,None
泰民街,Tai Man Street,柴灣,Chai Wan,None
大尾督路,Tai Mei Tuk Road,大埔,Tai Po,None
大明里,Tai Ming Lane,大埔,Tai Po,None
大帽山道,Tai Mo Shan Road,荃灣、石崗,"Tsuen Wan, Shek Kong",None
大網仔路,Tai Mong Tsai Road,西貢,Sai Kung,None
太茂路,Tai Mou Avenue,鰂魚涌,Quarry Bay,None
大南街,Tai Nan Street,深水埗,Sham Shui Po,chi-place
大南西街,Tai Nan West Street,長沙灣,Cheung Sha Wan,None
太寧街,Tai Ning Street,西灣河,Sai Wan Ho,None
大澳街市街,Tai O Market Street,大澳,Tai O,None
大澳道,Tai O Road,大澳,Tai O,None
大澳太平街,Tai O Tai Ping Street,大澳,Tai O,None
大澳永安街,Tai O Wing On Street,大澳,Tai O,None
大菴路,Tai Om Road,林村,Lam Tsuen,None
太安街,Tai On Street,西灣河,Sai Wan Ho,None
大安台,Tai On Terrace,上環,Sheung Wan,None
大壩街,Tai Pa Street,荃灣,Tsuen Wan,None
太白台,Tai Pak Terrace,堅尼地城,Kennedy Town,None
大白田里,Tai Pak Tin Lane,葵涌,Kwai Chung,None
大白田徑,Tai Pak Tin Path,葵涌,Kwai Chung,None
大白田街,Tai Pak Tin Street,葵涌,Kwai Chung,None
大白田村路,Tai Pak Tin Tsuen Road,葵涌,Kwai Chung,None
大陂坊,Tai Pei Square,荃灣,Tsuen Wan,None
大陂頭徑,Tai Pei Tau Path,元朗,Yuen Long,None
太平山街,Tai Ping Shan Street,上環,Sheung Wan,None
大埔龍尾路,Tai Po Lung Mei Road,汀角,Ting Kok,None
大埔道,Tai Po Road,深水埗、大埔滘、沙田、大圍、石硤尾,"Sham Shui Po, Tai Po Kau, Sha Tin, Tai Wai, Shek Kip Mei",None
大埔公路馬料水段,Tai Po Road - Ma Liu Shui,沙田、大埔,"Sha Tin, Tai Po",None
大埔公路琵琶山段,Tai Po Road - Piper's Hill,沙田,Sha Tin,None
大埔公路沙田段,Tai Po Road - Sha Tin,沙田,Sha Tin,None
大埔公路沙田嶺段,Tai Po Road - Sha Tin Heights,大圍,Tai Wai,None
大埔公路大埔滘段,Tai Po Road - Tai Po Kau,大埔、沙田,"Tai Po, Sha Tin",None
大埔公路大圍段,Tai Po Road - Tai Wai,大圍,Tai Wai,None
大埔公路大窩段,Tai Po Road - Tai Wo,大埔,Tai Po,None
大埔公路元洲仔段,Tai Po Road - Yuen Chau Tsai,大埔滘、大埔,"Tai Po Kau, Tai Po",None
大埔水窩路,Tai Po Shui Wo Road,林村,Lam Tsuen,None
大埔太和路,Tai Po Tai Wo Road,大埔,Tai Po,None
大埔頭徑,Tai Po Tau Drive,大埔,Tai Po,None
大埔頭路,Tai Po Tau Road,大埔,Tai Po,None
大埔頭水圍路,Tai Po Tau Shui Wai Road,大埔,Tai Po,None
大新後街,Tai San Back Street,長洲,Cheung Chau,None
大新海傍路,Tai San Praya Road,長洲,Cheung Chau,None
大新街,Tai San Street,長洲,Cheung Chau,None
大石口路,Tai Shek Hau Road,長洲,Cheung Chau,None
大石街,Tai Shek Street,西灣河,Sai Wan Ho,None
大成街,Tai Shing Street,黃大仙,Wong Tai Sin,None
大樹下東路,Tai Shu Ha Road East,元朗、大棠,"Yuen Long, Tai Tong",None
大樹下西路,Tai Shu Ha Road West,大棠,Tai Tong,None
大水坑北街,Tai Shui Hang North Street,馬鞍山,Ma On Shan,None
大水坑南街,Tai Shui Hang South Street,馬鞍山,Ma On Shan,None
大德街,Tai Tak Street,筲箕灣,Shau Kei Wan,None
大潭水塘道,Tai Tam Reservoir Road,淺水灣、大潭,"Repulse Bay, Tai Tam",None
大潭道,Tai Tam Road,大潭、柴灣,"Tai Tam, Chai Wan",None
大道村路,Tai To Tsuen Road,洪水橋,Hung Shui Kiu,None
大棠路,Tai Tong Road,元朗,Yuen Long,None
大棠山道,Tai Tong Shan Road,元朗,Yuen Long,None
大菜園路,Tai Tsoi Yuen Road,長洲,Cheung Chau,None
大全街,Tai Tsun Street,大角咀,Tai Kok Tsui,None
大同街,Tai Tung Street,新蒲崗、黃大仙,"San Po Kong, Wong Tai Sin",None
大屋街,Tai Uk Street,荃灣,Tsuen Wan,None
大圍新村路,Tai Wai New Village Road,大圍,Tai Wai,None
大圍道,Tai Wai Road,大圍,Tai Wai,None
大圍隧道,Tai Wai Tunnel,大圍,Tai Wai,None
大環道,Tai Wan Road,紅磡,Hung Hom,None
大環道東,Tai Wan Road East,紅磡,Hung Hom,None
大環頭路,Tai Wan Tau Road,清水灣,Clear Water Bay,None
太榮路,Tai Wing Avenue,鰂魚涌,Quarry Bay,None
大榮里,Tai Wing Lane,大埔,Tai Po,None
大窩口道,Tai Wo Hau Road,荃灣、葵涌,"Tsuen Wan, Kwai Chung",None
大窩東支路,Tai Wo Service Road East,粉嶺,Fanling,None
大窩西支路,Tai Wo Service Road West,粉嶺,Fanling,None
太和街,Tai Wo Street,灣仔,Wan Chai,None
大窩坪道,Tai Woh Ping Road,石硤尾,Shek Kip Mei,None
大王里,Tai Wong Lane,筲箕灣,Shau Kei Wan,None
大王東街,Tai Wong Street East,灣仔,Wan Chai,None
大王西街,Tai Wong Street West,灣仔,Wan Chai,None
大有街,Tai Yau Street,新蒲崗,San Po Kong,None
大陽輋路,Tai Yeung Che Road,林村,Lam Tsuen,None
大業里,Tai Yip Lane,觀塘,Kwun Tong,None
大業街,Tai Yip Street,觀塘、九龍灣,"Kwun Tong, Kowloon Bay",None
太裕路,Tai Yue Avenue,鰂魚涌,Quarry Bay,None
大圓街,Tai Yuen Street,葵涌,Kwai Chung,None
太原街,Tai Yuen Street,灣仔,Wan Chai,chi-place
太古城道,Taikoo Shing Road,鰂魚涌,Quarry Bay,None
太古灣道,Taikoo Wan Road,鰂魚涌,Quarry Bay,None
德昌里,Tak Cheong Lane,油麻地,Yau Ma Tei,None
德昌街,Tak Cheong Street,油麻地,Yau Ma Tei,None
德政圍,Tak Ching Court,屯門,Tuen Mun,None
德豐街,Tak Fung Street,紅磡,Hung Hom,None
德厚街,Tak Hau Street,沙田,Sha Tin,None
德興街,Tak Hing Street,油麻地,Yau Ma Tei,None
德海街,Tak Hoi Street,荃灣,Tsuen Wan,None
德康街,Tak Hong Street,紅磡,Hung Hom,None
得基街,Tak Kei Street,沙田,Sha Tin,None
打鼓嶺道,Tak Ku Ling Road,九龍城,Kowloon City,None
得利街,Tak Lee Street,沙田,Sha Tin,None
德隆後街,Tak Lung Back Street,西貢,Sai Kung,None
德隆前街,Tak Lung Front Street,西貢,Sai Kung,None
德民街,Tak Man Street,紅磡,Hung Hom,None
德安街,Tak On Street,紅磡,Hung Hom,None
得寶街,Tak Po Street,沙田,Sha Tin,None
德星里,Tak Shing Lane,西營盤,Sai Ying Pun,None
德成街,Tak Shing Street,油麻地,Yau Ma Tei,None
德大徑,Tak Tai Path,荃灣、葵涌,"Tsuen Wan, Kwai Chung",None
德田街,Tak Tin Street,藍田,Lam Tin,None
德定街,Tak Ting Street,紅磡,Hung Hom,None
德華街,Tak Wah Street,荃灣,Tsuen Wan,None
得榮街,Tak Wing Street,沙田,Sha Tin,None
德仁街,Tak Yan Street,灣仔,Wan Chai,None
得怡街,Tak Yi Street,沙田,Sha Tin,None
德業街,Tak Yip Street,元朗,Yuen Long,None
大沽街,Taku Street,紅磡,Hung Hom,chi-place
擔竿洲路,Tam Kon Chau Road,新田,San Tin,None
擔杆莆街,Tam Kon Po Street,沙田,Sha Tin,None
擔杆山路,Tam Kon Shan Road,青衣,Tsing Yi,None
譚公道,Tam Kung Road,土瓜灣,To Kwa Wan,None
譚公廟道,Tam Kung Temple Road,筲箕灣,Shau Kei Wan,None
譚里,Tam Lane,西營盤,Sai Ying Pun,singlecn
添馬街,Tamar Street,金鐘,Admiralty,ship
躉場路,Tan Cheung Road,西貢,Sai Kung,None
丹桂村路,Tan Kwai Tsuen Road,元朗、洪水橋,"Yuen Long, Hung Shui Kiu",None
炭山路,Tan Shan Road,秀茂坪,Sau Mau Ping,None
登豐街,Tang Fung Street,香港仔,Aberdeen,None
登龍街,Tang Lung Street,銅鑼灣,Causeway Bay,None
鄧屋街,Tang Uk Street,葵涌,Kwai Chung,None
水池巷,Tank Lane,上環,Sheung Wan,None
丹拿道,Tanner Road,北角,North Point,None
塔門海傍街,Tap Mun Hoi Pong Street,塔門,Grass Island,None
達之路,Tat Chee Avenue,又一村、九龍塘,"Yau Yat Chuen, Kowloon Tong",None
達輝徑,Tat Fai Path,元朗,Yuen Long,None
達福路,Tat Fuk Road,洪水橋,Hung Shui Kiu,None
達康路,Tat Hong Avenue,九龍塘、石硤尾,"Kowloon Tong, Shek Kip Mei",None
達美路,Tat Mei Road,葵涌,Kwai Chung,None
達東路,Tat Tung Road,東涌,Tung Chung,None
達運道,Tat Wan Road,大埔,Tai Po,None
達仁坊,Tat Yan Square,屯門,Tuen Mun,None
達洋路,Tat Yeung Road,荔枝角,Lai Chi Kok,None
達業里,Tat Yip Lane,火炭,Fo Tan,None
大老山公路,Tate's Cairn Highway,小瀝源,Siu Lek Yuen,None
大老山隧道,Tate's Cairn Tunnel,慈雲山,Tsz Wan Shan,None
廟街,Temple Street,油麻地,Yau Ma Tei,singlecn
德士古道,Texaco Road,荃灣,Tsuen Wan,None
德士古道北,Texaco Road North,荃灣、葵涌,"Tsuen Wan, Kwai Chung",None
同樂徑,The Governor's Walk,半山區,Mid-levels,None
戲院里,Theatre Lane,中環,Central,None
第三巷,Third Lane,銅鑼灣,Causeway Bay,None
第三街,Third Street,西營盤,Sai Ying Pun,None
地士道街,Thistle Street,旺角,Mong Kok,ship
譚臣道,Thomson Road,灣仔,Wan Chai,officials
天寶街,Tien Poa Street,金鐘,Admiralty,None
添福道,Tim Fuk Road,九龍塘,Kowloon Tong,None
添美道,Tim Mei Avenue,金鐘,Admiralty,None
添華道,Tim Wa Avenue,金鐘,Admiralty,None
田洲路,Tin Chau Road,將軍澳,Tseung Kwan O,None
天祥路,Tin Cheung Road,天水圍,Tin Shui Wai,None
天靖街,Tin Ching Street,天水圍,Tin Shui Wai,None
電照街,Tin Chiu Street,北角,North Point,None
電廠街,Tin Chong Street,北角,North Point,None
天竹街,Tin Chuk Street,天水圍,Tin Shui Wai,None
天暉路,Tin Fai Road,天水圍,Tin Shui Wai,None
天福路,Tin Fuk Road,天水圍,Tin Shui Wai,None
田廈路,Tin Ha Road,洪水橋、元朗,"Hung Shui Kiu, Yuen Long",None
天后路,Tin Hau Road,屯門,Tuen Mun,None
天后廟道,Tin Hau Temple Road,北角,North Point,None
天喜街,Tin Hei Street,天水圍,Tin Shui Wai,None
天香街,Tin Heung Street,觀塘,Kwun Tong,None
天河路,Tin Ho Road,天水圍,Tin Shui Wai,None
田景路,Tin King Road,屯門,Tuen Mun,None
天葵路,Tin Kwai Road,天水圍,Tin Shui Wai,None
天光道,Tin Kwong Road,何文田、土瓜灣,"Ho Man Tin, To Kwa Wan",None
天樂里,Tin Lok Lane,灣仔,Wan Chai,None
天龍路,Tin Lung Road,天水圍,Tin Shui Wai,None
天美街,Tin Mei Street,天水圍,Tin Shui Wai,None
天柏路,Tin Pak Road,天水圍,Tin Shui Wai,None
天平里,Tin Ping Lane,上水,Sheung Shui,None
天平路,Tin Ping Road,上水,Sheung Shui,None
田心街,Tin Sam Street,大圍,Tai Wai,None
天秀路,Tin Sau Road,天水圍,Tin Shui Wai,None
田石路,Tin Shek Road,西貢,Sai Kung,None
天城路,Tin Shing Road,天水圍,Tin Shui Wai,None
天瑞路,Tin Shui Road,天水圍,Tin Shui Wai,None
天順里,Tin Shun Lane,天水圍,Tin Shui Wai,None
